date,ski_field,hwadam_foliage
2023-11-12,6.04114,1.33533
2023-11-13,8.71615,1.55162
2023-11-14,8.50475,1.18487
2023-11-15,8.78933,1.09084
2023-11-16,8.26083,0.4984
2023-11-17,9.7081,0.7617
2023-11-18,8.65924,0.44197
2023-11-19,9.65119,0.23509
2023-11-20,12.89535,0.33853
2023-11-21,12.83031,0.14105
2023-11-22,13.37507,0.23509
2023-11-23,13.74095,0.23509
2023-11-24,19.31051,0.13165
2023-11-25,17.65997,0.16926
2023-11-26,21.20497,0.07523
2023-11-27,30.92934,0.08463
2023-11-28,32.03512,
2023-11-29,32.90511,0.07523
2023-11-30,33.43361,0.04701
2023-12-01,39.71867,0.04701
2023-12-02,34.27107,0.07523
2023-12-03,37.31197,
2023-12-04,50.53256,
2023-12-05,50.81713,
2023-12-06,46.01187,
2023-12-07,47.08512,
2023-12-08,55.45979,
2023-12-09,51.79282,
2023-12-10,47.57297,
2023-12-11,52.11805,
2023-12-12,51.81722,
2023-12-13,49.13407,
2023-12-14,43.49134,
2023-12-15,50.809,
2023-12-16,66.28994,0.05642
2023-12-17,58.10228,
2023-12-18,66.12732,
2023-12-19,60.16749,
2023-12-20,62.43597,
2023-12-21,59.02105,
2023-12-22,62.63923,
2023-12-23,73.22546,
2023-12-24,80.08781,
2023-12-25,71.7538,
2023-12-26,81.28303,
2023-12-27,73.20107,
2023-12-28,70.36344,
2023-12-29,67.94048,
2023-12-30,80.86023,
2023-12-31,76.19318,
2024-01-01,65.41182,
2024-01-02,76.36393,
2024-01-03,71.59118,
2024-01-04,71.32287,
2024-01-05,73.45312,0.04701
2024-01-06,79.40482,
2024-01-07,76.15253,
2024-01-08,76.40458,0.04701
2024-01-09,77.65672,
2024-01-10,71.4367,
2024-01-11,69.98943,
2024-01-12,74.39629,
2024-01-13,77.02252,
2024-01-14,69.61541,
2024-01-15,74.72965,
2024-01-16,67.33067,
2024-01-17,68.5015,
2024-01-18,64.59061,
2024-01-19,66.37124,
2024-01-20,70.19269,
2024-01-21,66.23302,0.05642
2024-01-22,64.63127,0.04701
2024-01-23,55.61427,0.05642
2024-01-24,55.57362,
2024-01-25,54.84998,
2024-01-26,61.51719,0.05642
